label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,market,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
A_baseline_hard_ma5,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1345653.1233320327,34.56531233320328,0.9297615789602087,-7.951255206989671,760,753,7,bull_2019,us,753,42.89508632138114,0.40306304435149354,-0.2633712222733009,6.47808764940239
penalty_v2_ma5_03_ma10_15_thr20,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1334246.121256453,33.42461212564529,0.0741874493002781,-7.554378501002679,732,721,11,bull_2019,us,721,42.857142857142854,0.3920174923530969,-0.2958294312002008,6.657420249653259
penalty_ma5_05_ma10_15_thr20,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1334246.121256453,33.42461212564529,0.0741874493002781,-7.554378501002679,732,721,11,bull_2019,us,721,42.857142857142854,0.3920174923530969,-0.2958294312002008,6.657420249653259
penalty_ma5only_03_thr20,2019-01-02,2019-12-31,252,1333257.011886717,33.32570118867171,1332425.276891709,33.242527689170906,-0.06238369553601686,-7.559787290228737,728,717,11,bull_2019,us,717,42.81729428172943,0.3932155722962499,-0.28572289108044213,6.712691771269177
penalty_ma5only_03_thr10,2023-01-03,2024-12-31,502,1567811.6254181173,56.78116254181174,2034564.1390018328,103.45641390018328,29.770956281768733,-15.597136221390361,1283,1280,3,bull_2023_2024,us,1280,40.859375,1.1784777969064206,-0.6991684259865016,10.32421875
penalty_v2_ma5_03_ma10_15_thr20,2023-01-03,2024-12-31,502,1567811.6254181173,56.78116254181174,2026995.2467794733,102.69952467794732,29.288188320385554,-14.832966128526836,1739,1737,2,bull_2023_2024,us,1737,42.371905584340816,0.8172596195835886,-0.449515092322994,6.626943005181347
penalty_ma5_05_ma10_15_thr20,2023-01-03,2024-12-31,502,1567811.6254181173,56.78116254181174,2026995.2467794733,102.69952467794732,29.288188320385554,-14.832966128526836,1739,1737,2,bull_2023_2024,us,1737,42.371905584340816,0.8172596195835886,-0.449515092322994,6.626943005181347
penalty_ma5only_03_thr20,2023-01-03,2024-12-31,502,1567811.6254181173,56.78116254181174,2020821.7215699486,102.08217215699484,28.89442129445996,-14.906103428835726,1732,1730,2,bull_2023_2024,us,1730,42.36994219653179,0.8210788435965453,-0.46447328618837713,6.665895953757225
penalty_v2_ma5_03_ma10_15_thr10,2023-01-03,2024-12-31,502,1567811.6254181173,56.78116254181174,2014932.0187764878,101.49320187764879,28.518757362774917,-15.399077046665798,1345,1342,3,bull_2023_2024,us,1342,40.536512667660205,1.1054973437632485,-0.7324718858502832,9.625186289120716
penalty_no_ma5_thr10,2023-01-03,2024-12-31,502,1567811.6254181173,56.78116254181174,2000454.2015194227,100.0454201519423,27.595316241255997,-15.413173462559083,1242,1239,3,bull_2023_2024,us,1239,40.92009685230024,1.1858227934484786,-0.7035091660084869,10.792574656981436
