label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,entry,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
ma5_and_break_prev3_low,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1251618.6073312126,25.161860733121255,-4.459436401086469,-29.32843783870197,513,489,24,tw_bear_2020,new_above_all_ma_and_score>=50%,489,32.10633946830266,0.29263168175187027,-1.8148881695996377,12.797546012269938
break_ma10,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1251005.8843889546,25.100588438895464,-4.506207753709724,-28.61172796795126,641,618,23,tw_bear_2020,new_above_all_ma_and_score>=50%,618,31.55339805825243,0.2680814481847098,-1.4763782057667596,10.111650485436893
break_big_bull_low,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1247143.9962881417,24.714399628814164,-4.800999604475143,-32.44999321238458,248,219,29,tw_bear_2020,new_above_all_ma_and_score>=50%,219,39.26940639269406,1.0756631618804096,-2.1126711855194436,29.429223744292237
break_prev2_low,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1215796.7000892516,21.579670008925156,-7.193851810891316,-28.826603249468974,754,730,24,tw_bear_2020,new_above_all_ma_and_score>=50%,730,35.47945205479452,0.21073514854484704,-1.4666815951628942,8.405479452054795
break_big_bull_low_and_vol_1_3x,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1203089.7053796044,20.308970537960434,-8.163822558447364,-35.141816985529516,135,108,27,tw_bear_2020,new_above_all_ma_and_score>=50%,108,37.96296296296296,-1.4073240245770449,-3.203276502970598,46.49074074074074
ma5_and_break_prev2_low,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1196241.7201549204,19.624172015492025,-8.68655397523127,-28.66469738917822,722,698,24,tw_bear_2020,new_above_all_ma_and_score>=50%,698,35.53008595988539,0.1604326035805512,-1.5327044829058778,8.786532951289399
penalty_adjusted_score_lt_10pct,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1182013.3808991432,18.20133808991431,-9.772654440349848,-29.53629109918078,706,685,21,tw_bear_2020,new_above_all_ma_and_score>=50%,685,31.824817518248178,0.1935632306299542,-1.411299417029932,8.597080291970803
ma5_score_lt_20pct,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1174598.2384200757,17.459823842007573,-10.33867901642015,-29.513398428215787,539,516,23,tw_bear_2020,new_above_all_ma_and_score>=50%,516,32.751937984496124,0.16167352116875897,-1.7160641716624847,12.34108527131783
baseline_ma5,2020-01-02,2020-12-31,245,1310038.9616557022,31.00389616557022,1164955.623777579,16.49556237775791,-11.074734578486012,-29.62744041118891,928,910,18,tw_bear_2020,new_above_all_ma_and_score>=50%,910,33.4065934065934,0.05895480844886326,-1.1131811222952148,6.162637362637363
ma5_score_lt_20pct,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3802577.327315952,280.2577327315952,78.7450586441355,-23.68616027040599,1056,1016,40,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,1016,41.14173228346456,4.18825309704323,-1.031903402712847,13.433070866141732
break_ma10,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3488100.102785652,248.81001027856522,63.962650529218834,-22.869162736224556,1152,1115,37,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,1115,39.64125560538116,3.2261894596137113,-1.0899265428038873,11.694170403587444
break_prev3_low,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3476052.3294209125,247.60523294209125,63.39632938141679,-22.955860882231494,931,890,41,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,890,43.258426966292134,4.2703539694804356,-1.0118765419963205,14.992134831460675
ma5_and_break_prev3_low,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3476052.3294209125,247.60523294209125,63.39632938141679,-22.955860882231494,931,890,41,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,890,43.258426966292134,4.2703539694804356,-1.0118765419963205,14.992134831460675
ma5_and_break_prev2_low,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3382612.9556318247,238.26129556318247,59.004090931031136,-23.302054663197524,1314,1282,32,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,1282,42.1996879875195,2.8064822170773005,-0.9278115305934254,9.716068642745709
break_prev2_low,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3378871.5742034297,237.887157420343,58.828222464655845,-22.960738479967947,1358,1329,29,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,1329,41.685477802859296,2.6953194504313522,-0.9345794392523366,9.243792325056434
penalty_adjusted_score_lt_10pct,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3333468.7234871583,233.34687234871586,56.69400282483614,-24.947711117506376,1253,1217,36,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,1217,38.78389482333608,2.7234010278641816,-1.179941002949858,9.884963023829087
break_prev5_low,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3299552.864163889,229.9552864163889,55.09974405193616,-24.32906243850771,660,612,48,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,612,45.09803921568628,6.421346062262273,-0.9459042270406559,21.763071895424837
ma5_and_break_prev5_low,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3299552.864163889,229.9552864163889,55.09974405193616,-24.32906243850771,660,612,48,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,612,45.09803921568628,6.421346062262273,-0.9459042270406559,21.763071895424837
market_break_ma10_sell_lowest_50pct,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3275836.0012241174,227.58360012241172,53.984902276971724,-24.674633558036284,921,880,41,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,880,42.27272727272727,3.81300933132747,-0.6884909871704148,13.435227272727273
market_break_ma10_score_lt_20pct,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3236466.822713063,223.6466822713063,52.134303192193364,-22.451272869690776,579,535,44,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,535,45.046728971962615,6.732468308048853,-0.8488866479835266,24.40747663551402
penalty_adjusted_score_lt_20pct,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3216891.1702956543,221.68911702956544,51.21412436658175,-24.967101759839807,1660,1635,25,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,1635,39.26605504587156,1.8541699968320922,-0.8733603838441351,6.232415902140673
baseline_ma5,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3101326.8866424775,210.13268866424775,45.781875951706,-25.52352803706681,1639,1609,30,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,1609,39.465506525792414,1.847091994787078,-0.8955213231334636,6.81727781230578
break_ma20,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3096258.2087374805,209.62582087374804,45.54361620012417,-24.79371810750234,594,543,51,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,543,41.988950276243095,6.049460128710438,-2.0109689213894,23.738489871086557
ma5_score_lt_10pct,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,3071114.1435733153,207.1114143573315,44.36168694124096,-27.68772030323844,501,450,51,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,450,41.77777777777778,7.780677584650508,-1.771159874608158,29.502222222222223
ma5_and_market_break_ma10,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,2921536.86815456,192.15368681545604,37.33061391755912,-24.318365036110844,816,770,46,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,770,42.467532467532465,3.9014630520838804,-0.7718681137081851,15.085714285714285
ma5_down_vol_1_3x,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,2514422.8256769665,151.44228256769665,18.193692526174043,-29.561198395936128,421,375,46,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,375,43.733333333333334,5.734223838798196,-1.0714285714285676,31.770666666666667
break_big_bull_low_and_vol_1_3x,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,2502108.459689566,150.21084596895656,17.614839847815244,-28.37962237602386,199,159,40,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,159,41.509433962264154,8.134426953268642,-2.4390327978379145,57.9622641509434
ma5_down_vol_1_5x,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,2310526.0278486004,131.05260278486006,8.609260193036494,-31.996668159375517,292,252,40,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,252,46.03174603174603,6.18580642657489,-0.6967811702661031,43.567460317460316
break_big_bull_low,2025-01-02,2026-05-28,337,2127374.7963497685,112.73747963497685,2259434.8783189533,125.94348783189533,6.207654720540012,-23.089783622018302,343,303,40,tw_bull_2025_2026,new_above_all_ma_and_score>=50%,303,39.93399339933993,6.703746613027449,-2.108433734939752,35.70957095709571
penalty_adjusted_score_lt_20pct,2021-01-04,2021-12-30,243,1219731.6201264309,21.973162012643076,1469196.1572582396,46.919615725823945,20.452412072907535,-12.716160912904728,1195,1170,25,tw_choppy_2021,new_above_all_ma_and_score>=50%,1170,37.17948717948718,0.365666107236131,-0.8583726211589371,5.260683760683761
break_big_bull_low_and_vol_1_3x,2021-01-04,2021-12-30,243,1219731.6201264309,21.973162012643076,1455974.9257330974,45.59749257330974,19.368466120619132,-16.688142307847407,174,140,34,tw_choppy_2021,new_above_all_ma_and_score>=50%,140,35.0,1.0113576245391562,-3.358294151367469,46.15
ma5_score_lt_20pct,2021-01-04,2021-12-30,243,1219731.6201264309,21.973162012643076,1412657.8048687617,41.26578048687617,15.81710120151949,-12.928461324597873,646,618,28,tw_choppy_2021,new_above_all_ma_and_score>=50%,618,35.11326860841424,0.5707612837700307,-1.422641851389389,12.490291262135923
