label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,market,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
penalty_ma5_05_ma10_15_thr10,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3525949.627114706,252.59496271147063,65.7418028125377,-23.83272901189869,1436,1400,36,tw_bull_2025_2026,tw,1400,38.92857142857143,2.5382323443169454,-1.0016724603636673,8.552857142857142
penalty_no_ma5_thr10,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3512329.684023804,251.2329684023804,65.10157984828126,-24.475327504413723,1302,1265,37,tw_bull_2025_2026,tw,1265,39.44664031620553,2.8361561914301934,-1.1152368996593665,9.891699604743083
penalty_no_ma5_thr20,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3347136.56194221,234.713656194221,57.336464415126386,-24.69349839448992,1709,1683,26,tw_bull_2025_2026,tw,1683,39.39393939393939,1.9718173866879043,-0.8620695576002424,6.278669043374926
penalty_ma5only_03_thr20,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3347136.56194221,234.713656194221,57.336464415126386,-24.69349839448992,1709,1683,26,tw_bull_2025_2026,tw,1683,39.39393939393939,1.9718173866879043,-0.8620695576002424,6.278669043374926
penalty_v2_ma5_03_ma10_15_thr20,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3346847.762837829,234.68477628378292,57.32288904131997,-24.675463605124015,1715,1689,26,tw_bull_2025_2026,tw,1689,39.31320307874482,1.9599690402221874,-0.8658021422350282,6.264653641207815
A_baseline_hard_ma5,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3282949.047969061,228.2949047969061,54.31924766246672,-25.00454106159595,1698,1667,31,tw_bull_2025_2026,tw,1667,39.772045590881824,1.9314675107066137,-0.8962890427667403,6.793641271745651
penalty_ma5_05_ma10_15_thr20,2025-01-02,2026-05-28,337,2127374.969549916,112.7374969549916,3217274.576906874,221.7274576906874,51.232134576987384,-25.52554641642387,1824,1799,25,tw_bull_2025_2026,tw,1799,38.854919399666485,1.6881067176522453,-0.8739038221933892,5.668704836020011
penalty_v2_ma5_03_ma10_15_thr20,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1361410.6723537245,36.14106723537245,11.615621880987149,-12.649694419489032,1240,1214,26,tw_choppy_2021,tw,1214,35.42009884678748,0.14885080138337617,-0.8843139209886774,5.177924217462932
penalty_no_ma5_thr20,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1359568.0271942262,35.95680271942261,11.464552119628646,-12.652239332508264,1236,1210,26,tw_choppy_2021,tw,1210,35.37190082644628,0.14881583415596455,-0.9026208056751361,5.174380165289256
penalty_ma5only_03_thr20,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1359568.0271942262,35.95680271942261,11.464552119628646,-12.652239332508264,1236,1210,26,tw_choppy_2021,tw,1210,35.37190082644628,0.14881583415596455,-0.9026208056751361,5.174380165289256
penalty_ma5_05_ma10_15_thr20,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1343597.2064243378,34.35972064243378,10.1551800628495,-12.48871262584016,1296,1273,23,tw_choppy_2021,tw,1273,35.82089552238806,0.1446180115149042,-0.8571395181088293,4.849960722702278
penalty_v2_ma5_03_ma10_15_thr10,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1315311.5676815098,31.53115676815097,7.836174326598444,-13.46789692956294,979,953,26,tw_choppy_2021,tw,953,34.62749213011542,0.08646662757265876,-1.1553236240779086,7.25813221406086
penalty_ma5_05_ma10_15_thr10,2021-01-04,2021-12-30,243,1219731.296937414,21.973129693741388,1306537.982553699,30.653798255369914,7.11686957891835,-12.807582564871412,992,967,25,tw_choppy_2021,tw,967,34.02275077559462,0.014081277754870964,-1.2141234199252948,7.115822130299897
