label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,entry,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
ma5_score_lt_10pct,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2322196.6509295925,132.21966509295925,78.78463756083862,-29.122112956619628,386,352,34,us_bull_2025_2026,new_above_all_ma_and_score>=50%,352,43.75,3.6138362231327688,-1.6623041787464654,29.951704545454547
ma5_down_vol_1_3x,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2303261.625164358,130.3261625164358,77.32684038535504,-29.352570687225978,418,381,37,us_bull_2025_2026,new_above_all_ma_and_score>=50%,381,49.08136482939632,3.4713036597814684,-0.39456881009614087,27.46981627296588
break_prev3_low,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2263978.8980721817,126.39788980721818,74.30248492314013,-24.188861704432586,669,639,30,us_bull_2025_2026,new_above_all_ma_and_score>=50%,639,45.38341158059468,2.503833682729736,-0.7620051236206793,14.305164319248826
ma5_and_break_prev3_low,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2263978.8980721817,126.39788980721818,74.30248492314013,-24.188861704432586,669,639,30,us_bull_2025_2026,new_above_all_ma_and_score>=50%,639,45.38341158059468,2.503833682729736,-0.7620051236206793,14.305164319248826
penalty_adjusted_score_lt_10pct,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2254473.2126326393,125.44732126326394,73.57064745132413,-23.898378795148645,802,773,29,us_bull_2025_2026,new_above_all_ma_and_score>=50%,773,41.13842173350582,2.3220911308012284,-0.9998007024397682,11.20051746442432
ma5_score_lt_20pct,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2212814.807672977,121.28148076729768,70.36338986222441,-29.96122253875022,467,437,30,us_bull_2025_2026,new_above_all_ma_and_score>=50%,437,41.41876430205949,2.9904129427112918,-1.5330160892927491,21.79633867276888
penalty_adjusted_score_lt_20pct,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2198815.0614971877,119.88150614971875,69.28555713648161,-22.648497836722715,972,948,24,us_bull_2025_2026,new_above_all_ma_and_score>=50%,948,43.037974683544306,1.8327143537523123,-0.6626167745810152,8.428270042194093
break_ma10,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2180099.621536317,118.00996215363169,67.8446657507945,-24.577429045948506,816,788,28,us_bull_2025_2026,new_above_all_ma_and_score>=50%,788,41.62436548223351,2.2379354385434667,-0.9509035742560012,11.125634517766498
ma5_and_break_prev2_low,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2169495.4432183215,116.94954432183215,67.02825591898531,-24.837393312516543,939,913,26,us_bull_2025_2026,new_above_all_ma_and_score>=50%,913,45.89266155531216,1.9345404814468643,-0.5828350762815071,9.309967141292443
break_prev2_low,2025-01-02,2026-05-28,351,1298879.3011588438,29.887930115884377,2154507.1962586846,115.45071962586846,65.87431906386223,-24.031241554069016,962,937,25,us_bull_2025_2026,new_above_all_ma_and_score>=50%,937,45.67769477054429,1.8348200333521008,-0.5828350762815071,8.939167556029883
