label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,case,market,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days
baseline_ma5+fastfill,2021-01-04,2021-12-30,243,1219731.4585319108,21.973145853191077,1159823.339548725,15.982333954872496,-4.911582673721659,-15.806344184182198,1128,1104,24,tw_choppy_2021,tw,1104,34.78260869565217,-0.14307115669374845,-1.0590364292978216,5.7355072463768115
fastfill_only,2022-01-03,2022-12-30,251,815944.4384365844,-18.40555615634155,769815.7824567617,-23.018421754323825,-5.653406507458891,-30.20502805650731,37,14,23,us_bear_2022,us,14,14.285714285714285,-22.929190676379953,-23.239717275381206,159.5
baseline_ma5+fastfill,2022-01-03,2022-12-30,251,815944.4384365844,-18.40555615634155,736378.9890561918,-26.36210109438083,-9.751331785880723,-30.576373119943945,420,416,4,us_bear_2022,us,416,27.884615384615387,-1.1572205528579855,-1.1639397352294245,4.747596153846154
penalty_score_lt_20pct+fastfill,2022-01-03,2022-12-30,251,815944.4384365844,-18.40555615634155,734801.071222198,-26.519892877780205,-9.944717237103017,-31.34595011872039,386,382,4,us_bear_2022,us,382,28.534031413612563,-1.2170937729601643,-1.2130215284824164,5.2643979057591626
baseline_ma5,2022-01-03,2022-12-30,251,815944.4384365844,-18.40555615634155,731327.0594087961,-26.867294059120383,-10.37048296939459,-30.57852408127517,420,416,4,us_bear_2022,us,416,27.64423076923077,-1.2032761230561566,-1.1655566899436143,4.793269230769231
penalty_score_lt_20pct,2022-01-03,2022-12-30,251,815944.4384365844,-18.40555615634155,730457.4131509264,-26.954258684907362,-10.47706452285625,-31.34813608742415,386,382,4,us_bear_2022,us,382,28.272251308900525,-1.2587858103542424,-1.225767387756227,5.31151832460733
penalty_score_lt_20pct,2025-01-02,2026-05-28,351,1298879.0722156456,29.887907221564557,2239544.79841632,123.95447984163197,72.42134747741171,-22.592817182034953,985,960,25,us_bull_2025_2026,us,960,43.333333333333336,1.8992791376416005,-0.6464622777377471,8.465625
penalty_score_lt_20pct+fastfill,2025-01-02,2026-05-28,351,1298879.0722156456,29.887907221564557,2233757.023567242,123.37570235672422,71.9757498099395,-22.66643602855012,1002,977,25,us_bull_2025_2026,us,977,43.50051177072671,1.8802397778470796,-0.6267557357878539,8.278403275332652
baseline_ma5+fastfill,2025-01-02,2026-05-28,351,1298879.0722156456,29.887907221564557,2024310.2989991694,102.43102989991692,55.850559324670115,-24.570799120785647,1209,1184,25,us_bull_2025_2026,us,1184,46.28378378378378,1.347825750559151,-0.2693013843307279,6.523648648648648
baseline_ma5,2025-01-02,2026-05-28,351,1298879.0722156456,29.887907221564557,2004854.5593223483,100.48545593223483,54.352672408713175,-24.859854822960557,1206,1181,25,us_bull_2025_2026,us,1181,46.06265876375952,1.317885113376301,-0.34654468032522256,6.601185436071126
fastfill_only,2025-01-02,2026-05-28,351,1298879.0722156456,29.887907221564557,1705766.5001514086,70.57665001514086,31.32604386655402,-31.082240313512656,73,40,33,us_bull_2025_2026,us,40,57.49999999999999,22.97059841326279,2.5296937037983747,126.925
fastfill_only,2021-01-04,2021-12-31,252,1282383.0825296766,28.23830825296767,1269369.3157122654,26.93693157122654,-1.0148111741882682,-13.51404566498161,35,9,26,us_choppy_2021,us,9,55.55555555555556,4.290483404953351,1.592398572439735,131.88888888888889
baseline_ma5,2021-01-04,2021-12-31,252,1282383.0825296766,28.23830825296767,1253134.7708569183,25.313477085691826,-2.28077803514547,-6.609348545146354,842,834,8,us_choppy_2021,us,834,42.326139088729015,0.15240963665385646,-0.5011801107045022,5.958033573141487
baseline_ma5+fastfill,2021-01-04,2021-12-31,252,1282383.0825296766,28.23830825296767,1251429.8105284392,25.142981052843915,-2.413730532079217,-6.611504210932829,842,834,8,us_choppy_2021,us,834,42.20623501199041,0.14005821923808043,-0.5046127583861748,5.928057553956834
penalty_score_lt_20pct,2021-01-04,2021-12-31,252,1282383.0825296766,28.23830825296767,1240092.4782405393,24.009247824053936,-3.2978136459593133,-7.220480271341456,722,704,18,us_choppy_2021,us,704,39.0625,0.1124100398433448,-0.7223895970121852,7.217329545454546
penalty_score_lt_20pct+fastfill,2021-01-04,2021-12-31,252,1282383.0825296766,28.23830825296767,1240077.1518316036,24.00771518316036,-3.299008796546099,-7.220396228722425,723,705,18,us_choppy_2021,us,705,39.148936170212764,0.11522712369242394,-0.7187773843978396,7.202836879432624
