symbol,market,date,gap_type,gap_size,vol_ratio,vol_confirmed,makes_new_high,fast_filled,unfilled_10d,excess10,excess20,excess60,post20,post60
1319.TW,tw,2022-11-16,up,0.0193,3.55,True,False,False,False,0.0244,0.0719,-0.0842,-0.0392,-0.1048
1319.TW,tw,2022-11-29,up,0.0143,4.06,True,True,False,True,-0.0054,-0.0981,-0.1392,-0.1158,-0.1303
1319.TW,tw,2023-03-21,up,0.0124,1.25,False,False,False,True,0.0112,0.0215,0.0823,0.0697,0.0848
1319.TW,tw,2023-06-05,up,0.01,1.96,True,True,True,False,0.004,0.0194,0.373,0.0317,0.4946
1319.TW,tw,2023-07-28,up,0.0211,5.19,True,True,False,True,0.0122,0.0419,0.3206,0.2327,0.3338
1319.TW,tw,2023-10-12,up,0.0151,2.01,True,True,False,False,-0.0752,-0.0769,-0.1719,-0.0928,-0.1144
1319.TW,tw,2024-07-09,down,0.0142,1.34,False,False,False,False,0.0055,-0.0144,0.0527,-0.0242,0.0385
1319.TW,tw,2024-08-05,down,0.0205,1.84,True,False,False,False,-0.0808,-0.0013,0.0806,0.2145,0.1938
1319.TW,tw,2024-12-12,up,0.0134,1.35,False,False,True,False,-0.0202,-0.0632,0.2142,-0.0481,0.2484
1319.TW,tw,2025-04-07,down,0.0885,0.39,False,False,False,False,0.0789,-0.0205,-0.3415,-0.1126,-0.4499
1319.TW,tw,2025-07-15,up,0.0239,2.23,True,False,False,True,0.0185,-0.0844,-0.3227,-0.1041,-0.316
1319.TW,tw,2026-03-04,down,0.0105,0.72,False,False,False,False,-0.1171,-0.1067,-0.4444,-0.146,-0.1013
1319.TW,tw,2026-03-09,down,0.0151,1.41,False,False,False,False,-0.0728,-0.1457,-0.34,-0.2105,-0.2354
1326.TW,tw,2018-03-01,down,0.0184,1.3,False,False,False,False,-0.0211,0.024,0.1156,0.0432,0.0943
1326.TW,tw,2018-10-11,down,0.0123,2.14,True,False,False,False,-0.0325,-0.0538,-0.0388,-0.0013,-0.0086
1326.TW,tw,2019-09-16,up,0.019,2.33,True,True,False,False,-0.0654,-0.0838,-0.1783,-0.0322,-0.1154
1326.TW,tw,2020-01-30,down,0.0182,3.52,True,False,False,False,-0.0315,-0.0228,-0.0938,-0.0262,-0.0431
1326.TW,tw,2020-03-09,down,0.0149,2.77,True,False,False,False,-0.0268,-0.0147,-0.0538,-0.0368,-0.0653
1326.TW,tw,2020-03-13,down,0.0295,3.07,True,False,False,False,-0.0052,-0.0118,-0.0503,-0.0424,-0.0646
1326.TW,tw,2020-03-17,down,0.0188,2.0,True,False,False,False,-0.0053,-0.01,-0.0582,0.0101,-0.0507
1326.TW,tw,2020-03-19,down,0.0114,1.81,True,False,False,False,0.0227,-0.0253,-0.0507,-0.0118,-0.0604
1326.TW,tw,2020-03-24,up,0.019,0.78,False,False,False,True,0.0155,-0.0359,-0.0755,-0.0204,-0.1083
1326.TW,tw,2020-03-25,up,0.0212,0.79,False,False,False,False,0.0046,-0.0556,-0.077,-0.0204,-0.1277
1326.TW,tw,2020-07-28,down,0.0102,1.72,True,False,False,False,0.0403,0.0312,0.0025,0.0115,-0.0153
1326.TW,tw,2022-08-29,down,0.0115,1.55,True,False,False,False,0.0178,0.0631,0.065,0.0959,0.0581
1326.TW,tw,2024-08-05,down,0.0175,1.27,False,False,False,False,-0.1808,-0.212,-0.3807,-0.068,-0.2253
1326.TW,tw,2024-09-04,down,0.0286,2.66,True,False,False,False,-0.0114,0.0003,-0.2758,-0.1525,-0.3538
1326.TW,tw,2024-10-14,down,0.0219,0.94,False,False,False,False,-0.027,-0.1052,-0.3937,-0.0693,-0.3323
1326.TW,tw,2025-03-04,down,0.0139,1.13,False,False,False,False,0.0695,0.0242,-0.1249,-0.0124,-0.1831
1326.TW,tw,2025-04-07,down,0.0657,0.29,False,False,False,False,-0.0133,-0.0354,-0.2801,-0.0973,-0.3174
1326.TW,tw,2025-08-04,down,0.0528,1.2,False,False,False,False,0.082,0.1285,-0.1643,-0.0809,-0.0147
1476.TW,tw,2018-02-05,down,0.0171,1.29,False,False,False,False,0.1078,0.1317,0.321,0.0942,0.1984
1476.TW,tw,2018-03-21,up,0.0202,3.28,True,True,False,True,0.0775,0.0711,0.0396,0.0104,-0.0149
1476.TW,tw,2018-05-08,up,0.0289,3.06,True,False,False,True,0.0253,0.0215,-0.0869,-0.0686,0.019
1476.TW,tw,2018-08-08,up,0.0287,6.72,True,True,False,True,0.0707,-0.0325,0.0737,-0.0316,0.0656
1476.TW,tw,2018-10-11,down,0.0511,1.87,True,False,False,False,0.0509,0.1264,0.1003,0.0815,0.011
1476.TW,tw,2018-12-05,down,0.0434,4.63,True,False,False,False,0.0308,0.1077,0.1666,0.0568,0.1649
1476.TW,tw,2019-01-24,down,0.0267,3.72,True,False,False,False,0.0046,-0.0042,0.0766,0.174,0.1438
1476.TW,tw,2019-03-14,up,0.026,5.23,True,True,False,True,0.0262,0.009,-0.0331,-0.0021,-0.0666
1476.TW,tw,2019-05-03,down,0.0299,3.87,True,False,False,False,0.0343,0.0524,0.0086,-0.0082,-0.05
1476.TW,tw,2019-09-20,up,0.0124,2.89,True,True,False,True,-0.0052,-0.037,-0.1594,-0.1469,-0.167
1476.TW,tw,2020-03-02,down,0.0153,1.21,False,False,False,False,-0.1342,-0.1618,-0.0696,0.0463,0.1307
1476.TW,tw,2020-03-09,down,0.0199,1.92,True,False,False,False,-0.2265,-0.1474,-0.0769,0.2422,0.4856
1476.TW,tw,2020-03-12,down,0.0181,2.64,True,False,False,False,-0.1238,-0.0753,0.0586,0.0791,0.2397
1476.TW,tw,2020-03-13,down,0.0334,3.51,True,False,False,False,-0.0574,0.029,0.1227,0.062,0.1744
1476.TW,tw,2020-03-19,down,0.0269,1.58,True,False,False,False,-0.0435,0.1133,0.2641,0.1367,0.272
1476.TW,tw,2020-03-23,down,0.0366,1.3,False,False,False,False,0.1792,0.2422,0.4856,0.0153,0.1149
1476.TW,tw,2020-03-25,up,0.0679,0.74,False,False,False,True,0.0792,0.079,0.2363,-0.0281,0.0798
1476.TW,tw,2020-04-16,down,0.0104,0.67,False,False,False,False,0.0057,-0.0821,-0.0259,0.0423,-0.1015
1476.TW,tw,2020-06-12,down,0.0163,0.96,False,False,False,False,0.0177,-0.0952,-0.0175,-0.1792,-0.0543
1476.TW,tw,2022-03-04,down,0.0208,2.91,True,False,False,False,-0.1678,-0.1042,-0.0388,0.0568,0.1366
1476.TW,tw,2022-03-07,down,0.0164,1.74,True,False,False,False,-0.1317,-0.1128,-0.0136,0.035,0.1029
1476.TW,tw,2022-03-11,down,0.0199,2.68,True,False,False,False,0.0254,0.1109,0.2058,0.1179,0.1805
1476.TW,tw,2022-03-30,up,0.0194,1.06,False,False,False,False,0.0143,0.0832,0.1083,0.1546,0.1068
1476.TW,tw,2022-05-19,down,0.0133,2.0,True,False,False,False,0.0327,0.0177,-0.0071,-0.0528,0.0006
1476.TW,tw,2022-06-13,down,0.012,0.67,False,False,False,False,0.0128,0.0021,0.0083,-0.0332,0.018
1476.TW,tw,2022-08-05,up,0.0166,2.3,True,False,False,False,0.0007,0.0402,0.1386,0.0672,0.0542
1476.TW,tw,2022-08-10,down,0.0116,2.83,True,False,False,False,0.1068,0.1468,0.1856,0.0042,-0.0178
1476.TW,tw,2022-09-01,down,0.0214,0.75,False,False,False,False,0.0653,0.0069,0.0254,-0.0342,0.029
1476.TW,tw,2022-09-02,up,0.0138,1.34,False,False,False,True,0.0297,-0.0209,-0.0019,0.0002,-0.012
1476.TW,tw,2022-09-30,down,0.0244,2.73,True,False,False,False,0.0173,0.1254,0.1926,0.0745,0.1002
1476.TW,tw,2022-10-04,up,0.0166,0.98,False,False,False,False,0.0866,0.1189,0.1499,-0.0655,-0.017
1476.TW,tw,2023-03-03,down,0.0156,2.74,True,False,False,False,-0.0332,0.0445,-0.0379,0.0928,0.0358
1476.TW,tw,2023-06-15,up,0.0107,1.92,True,True,False,True,0.0323,-0.0008,0.0774,0.0692,0.0285
1476.TW,tw,2023-08-09,down,0.0241,3.31,True,False,False,False,0.0225,0.0538,0.1442,0.0048,0.0997
1476.TW,tw,2023-11-03,up,0.0296,2.45,True,True,False,True,-0.0158,0.0081,-0.1384,-0.0379,-0.1549
1476.TW,tw,2024-03-08,up,0.0238,1.63,True,True,False,False,-0.0653,-0.0975,-0.1893,-0.0095,-0.1953
1476.TW,tw,2024-05-24,up,0.0104,3.48,True,False,True,False,0.1171,0.025,0.0243,-0.1573,-0.0557
1476.TW,tw,2024-07-26,down,0.015,1.22,False,False,False,False,-0.0257,0.0045,-0.044,0.0656,0.0342
1476.TW,tw,2024-11-08,up,0.0291,3.18,True,True,True,False,-0.0322,-0.0733,-0.0753,-0.0767,-0.0115
1476.TW,tw,2024-11-20,down,0.0168,1.2,False,False,False,False,-0.0152,-0.0655,-0.0049,-0.0324,0.0145
1476.TW,tw,2024-11-21,up,0.0152,1.54,True,False,False,False,-0.0544,-0.1071,0.0057,-0.0463,0.0211
1476.TW,tw,2025-03-03,down,0.0147,2.47,True,False,False,False,-0.0077,-0.0676,-0.1212,-0.0932,-0.2004
1476.TW,tw,2025-03-11,down,0.0191,0.83,False,False,False,False,-0.0558,-0.191,-0.2068,-0.0694,-0.1968
1476.TW,tw,2025-03-31,down,0.0372,2.91,True,False,False,False,-0.0387,-0.0351,-0.1636,0.0323,-0.1814
1476.TW,tw,2025-04-07,down,0.0981,0.22,False,False,False,False,-0.0721,-0.0795,-0.1754,0.0219,-0.1521
1476.TW,tw,2025-04-08,down,0.0999,1.59,True,False,False,False,0.0147,0.005,-0.0851,-0.0154,-0.1828
1476.TW,tw,2025-04-09,down,0.0997,0.43,False,False,False,False,0.0842,0.0987,0.1172,-0.0383,-0.2064
1476.TW,tw,2025-04-10,up,0.078,4.67,True,False,True,False,0.1109,0.1161,0.0499,-0.065,-0.2213
1476.TW,tw,2025-04-30,up,0.015,1.23,False,False,True,False,0.025,-0.0239,-0.2303,-0.1286,-0.3162
1476.TW,tw,2025-06-23,down,0.0217,1.74,True,False,False,False,0.0757,-0.0618,-0.1225,-0.143,-0.1669
1476.TW,tw,2025-07-03,up,0.0204,1.71,True,False,False,False,-0.0683,-0.071,-0.0924,0.0027,-0.112
1476.TW,tw,2025-11-14,up,0.0159,3.91,True,False,True,False,-0.0285,-0.1459,-0.2801,-0.1697,-0.3514
1476.TW,tw,2026-03-18,up,0.0188,0.97,False,False,True,False,-0.1254,-0.19,-0.4766,-0.2312,
1477.TW,tw,2018-01-18,up,0.0349,9.46,True,True,False,True,-0.049,-0.0175,0.0568,-0.0019,0.0687
1477.TW,tw,2018-02-05,down,0.0302,1.56,True,False,False,False,0.0973,0.0152,0.09,-0.0241,-0.0012
1477.TW,tw,2019-08-06,down,0.0135,1.61,True,False,False,False,0.024,-0.0003,-0.2328,-0.1149,-0.3558
1477.TW,tw,2019-10-16,up,0.015,1.66,True,False,False,False,-0.0287,-0.1172,-0.1884,-0.1408,-0.1239
1477.TW,tw,2020-01-30,down,0.0227,2.34,True,False,False,False,-0.0296,0.0101,-0.0871,-0.0702,-0.1291
1477.TW,tw,2020-03-09,down,0.0104,2.18,True,False,False,False,-0.1026,-0.0963,0.1046,0.0581,0.4042
1477.TW,tw,2020-03-12,down,0.015,2.15,True,False,False,False,-0.0837,-0.0592,0.2093,0.0709,0.3694
1477.TW,tw,2020-03-19,down,0.0179,1.39,False,False,False,False,-0.0596,-0.0177,0.2724,0.0525,0.3055
1477.TW,tw,2020-03-23,down,0.0243,0.58,False,False,False,False,0.0264,0.0581,0.4042,-0.0224,0.2597
1477.TW,tw,2020-03-25,up,0.0146,2.05,True,False,False,False,0.0183,0.0295,0.3207,-0.0421,0.2579
1477.TW,tw,2020-05-07,down,0.0289,2.09,True,False,False,False,0.151,0.2686,0.3642,0.1553,0.239
1477.TW,tw,2020-06-29,down,0.0126,0.7,False,False,False,False,0.036,-0.0472,0.0189,-0.0542,-0.1049
1477.TW,tw,2021-06-03,down,0.0107,1.68,True,False,False,False,-0.0503,-0.0361,-0.1468,-0.0692,-0.0829
1477.TW,tw,2021-09-14,up,0.014,2.87,True,True,True,False,-0.0143,-0.1537,-0.047,-0.0071,-0.0276
1477.TW,tw,2021-10-05,down,0.0107,1.79,True,False,False,False,-0.065,-0.0385,-0.0007,0.0502,0.0098
1477.TW,tw,2022-01-24,down,0.0146,1.49,False,False,False,False,-0.0285,-0.004,-0.081,-0.0809,-0.0773
1477.TW,tw,2022-05-06,down,0.042,3.1,True,False,False,False,-0.0056,-0.007,-0.0629,0.0237,0.1609
1477.TW,tw,2022-05-19,down,0.012,0.93,False,False,False,False,-0.0242,0.0044,0.1386,-0.0222,0.1725
