label,start,end,trading_days,benchmark_final,benchmark_return_pct,active_final,active_return_pct,excess_pct,max_drawdown_pct,buys,sells,open_positions,closed_trades,trade_win_rate_pct,avg_trade_return_pct,median_trade_return_pct,avg_hold_days,case,exit,entry_gate,min_ratio,max_positions,active_slot
ma5_down_vol_1_5x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772834.364074363,-22.7165635925637,-5.283429969195563,-29.331910806700602,57,55,2,55,27.27272727272727,-5.508635270473332,-2.9286515555316694,34.96363636363636,us_bear_2022_defense,ma5_down_vol_1_5x,spy_ret20_positive,0.65,10,50000.0
ma5_and_market_break_ma10,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772814.1237391932,-22.718587626080677,-5.285910572042274,-28.850085550196948,160,157,3,157,27.388535031847134,-1.9573950149169925,-1.908381208149712,8.585987261146498,us_bear_2022_defense,ma5_and_market_break_ma10,spy_above_ma5,0.5,10,50000.0
ma5_down_vol_1_5x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772802.2392601377,-22.719776073986232,-5.287367102891672,-29.058070149580363,77,72,5,72,27.77777777777778,-6.518842487824626,-4.4854894074226825,37.18055555555556,us_bear_2022_defense,ma5_down_vol_1_5x,spy_above_ma5,0.65,15,25000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772799.9745132105,-22.720002548678952,-5.28764466438596,-30.922003220481642,62,52,10,52,19.230769230769234,-8.598499327372885,-8.557189953525763,45.36538461538461,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.65,15,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772799.9745132105,-22.720002548678952,-5.28764466438596,-30.922003220481642,62,52,10,52,19.230769230769234,-8.598499327372885,-8.557189953525763,45.36538461538461,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma20,0.7,15,50000.0
market_break_ma10_sell_lowest_50pct,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772790.7077814424,-22.720929221855755,-5.28878037093482,-28.088374191257202,228,228,0,228,29.385964912280706,-1.962730718203827,-1.4706750958025538,8.929824561403509,us_bear_2022_defense,market_break_ma10_sell_lowest_50pct,spy_up_day,0.55,none,25000.0
market_break_ma10_score_lt_20pct,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772770.6044253769,-22.72293955746232,-5.291244185978705,-27.883809289183404,90,87,3,87,22.988505747126435,-2.881941755612917,-4.010028106749786,19.95402298850575,us_bear_2022_defense,market_break_ma10_score_lt_20pct,spy_above_ma10,0.5,10,50000.0
break_prev3_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772753.6084169929,-22.724639158300707,-5.2933271725708835,-27.85425034694875,202,201,1,201,20.8955223880597,-2.3372554182928926,-2.8747108070839578,9.393034825870647,us_bear_2022_defense,break_prev3_low,spy_up_day,0.6,none,25000.0
break_prev5_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772746.2255402682,-22.725377445973173,-5.2942319987442925,-27.43951216721139,126,124,2,124,26.61290322580645,-2.7010650555666937,-3.159168832814002,16.14516129032258,us_bear_2022_defense,break_prev5_low,always,0.6,10,25000.0
break_prev3_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772638.4072976969,-22.736159270230306,-5.307445922190013,-28.548135239474604,171,170,1,170,26.47058823529412,-1.6928683602427137,-2.5782567465795934,9.994117647058824,us_bear_2022_defense,break_prev3_low,spy_above_ma10,0.6,none,50000.0
break_prev3_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772638.4072976969,-22.736159270230306,-5.307445922190013,-28.548135239474604,171,170,1,170,26.47058823529412,-1.6928683602427137,-2.5782567465795934,9.994117647058824,us_bear_2022_defense,break_prev3_low,spy_above_ma10,0.6,20,50000.0
break_prev3_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772630.3819702677,-22.73696180297322,-5.308429485451171,-27.99308614325279,236,232,4,232,23.70689655172414,-2.150182387764818,-2.8412195752569422,9.836206896551724,us_bear_2022_defense,break_prev3_low,spy_above_ma5,0.5,none,25000.0
ma5_down_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772612.779948863,-22.738722005113697,-5.310586743423351,-28.480879404013237,76,73,3,73,23.28767123287671,-4.743434601263738,-3.4097816534421455,23.08219178082192,us_bear_2022_defense,ma5_down_vol_1_3x,spy_ret20_positive,0.55,10,25000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772597.3687416875,-22.74026312583125,-5.312475500900438,-31.85991786408605,74,61,13,61,16.39344262295082,-7.563170761328214,-7.827246338027349,32.032786885245905,us_bear_2022_defense,break_big_bull_low,spy_above_ma10,0.7,none,50000.0
break_big_bull_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772597.3687416875,-22.74026312583125,-5.312475500900438,-31.85991786408605,74,61,13,61,16.39344262295082,-7.563170761328214,-7.827246338027349,32.032786885245905,us_bear_2022_defense,break_big_bull_low,spy_above_ma10,0.7,20,50000.0
ma5_and_market_break_ma10,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772593.9106184398,-22.740608938156026,-5.312899319493392,-28.15487272279108,147,147,0,147,28.57142857142857,-1.5440390854753785,-1.3881219443753978,10.006802721088436,us_bear_2022_defense,ma5_and_market_break_ma10,spy_ret20_positive,0.55,none,50000.0
ma5_and_market_break_ma10,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772593.9106184398,-22.740608938156026,-5.312899319493392,-28.15487272279108,147,147,0,147,28.57142857142857,-1.5440390854753785,-1.3881219443753978,10.006802721088436,us_bear_2022_defense,ma5_and_market_break_ma10,spy_ret20_positive,0.55,20,50000.0
ma5_down_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772580.3643947521,-22.74196356052479,-5.314559509443795,-28.224764278117576,69,66,3,66,25.757575757575758,-5.640733827845126,-3.3267771558095682,23.78787878787879,us_bear_2022_defense,ma5_down_vol_1_3x,spy_ret20_positive,0.65,10,25000.0
market_break_ma10_score_lt_20pct,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772576.3535533043,-22.742364644669564,-5.315051067742093,-28.485454636865448,128,127,1,127,23.62204724409449,-3.763702173702322,-4.226131516544285,19.409448818897637,us_bear_2022_defense,market_break_ma10_score_lt_20pct,spy_up_day,0.55,15,25000.0
ma5_down_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772575.6069955043,-22.74243930044957,-5.315142563924757,-28.462176826397666,69,66,3,66,25.757575757575758,-5.284305470702112,-3.3774429274131545,23.515151515151516,us_bear_2022_defense,ma5_down_vol_1_3x,spy_above_ma5,0.7,10,25000.0
penalty_adjusted_score_lt_20pct,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772559.3082908246,-22.744069170917534,-5.317140090788164,-27.66583430067433,203,203,0,203,27.093596059113302,-1.246412839145494,-1.3421471861402412,5.74384236453202,us_bear_2022_defense,penalty_adjusted_score_lt_20pct,spy_above_ma5,0.6,15,50000.0
market_break_ma10_score_lt_20pct,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772532.247242722,-22.746775275727803,-5.320456622475778,-29.78292885176583,75,74,1,74,29.72972972972973,-3.055079942811549,-3.904310688182716,22.405405405405407,us_bear_2022_defense,market_break_ma10_score_lt_20pct,spy_above_ma5,0.7,15,50000.0
ma5_down_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772495.2060269157,-22.750479397308432,-5.324996297565332,-28.024775863697894,74,70,4,70,27.142857142857142,-4.991304277826777,-3.3774429274131545,23.685714285714287,us_bear_2022_defense,ma5_down_vol_1_3x,spy_above_ma20,0.65,10,25000.0
market_break_ma10_sell_lowest_50pct,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772486.5136700708,-22.75134863299292,-5.326061610217181,-29.31991528684431,160,157,3,157,32.48407643312102,-1.988303904000982,-1.6800407414101937,8.745222929936306,us_bear_2022_defense,market_break_ma10_sell_lowest_50pct,spy_above_ma5,0.5,10,50000.0
break_prev3_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772477.4654005555,-22.75225345994445,-5.327170542600424,-28.602835554472982,159,158,1,158,26.582278481012654,-1.645510289344282,-2.4306623057087915,10.259493670886076,us_bear_2022_defense,break_prev3_low,spy_above_ma10,0.6,15,50000.0
break_prev5_low,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772469.9836269724,-22.75300163730276,-5.3280874893156245,-30.753355037622143,95,94,1,94,26.595744680851062,-2.7237241396759,-3.159168832814002,15.712765957446809,us_bear_2022_defense,break_prev5_low,spy_up_day,0.65,15,50000.0
break_big_bull_low_and_vol_1_3x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772459.6960501244,-22.754030394987566,-5.329348307982951,-30.455723131485723,45,37,8,37,8.108108108108109,-10.532875433280395,-10.187975108059055,45.567567567567565,us_bear_2022_defense,break_big_bull_low_and_vol_1_3x,spy_above_ma10_or_up_day,0.7,10,50000.0
ma5_down_vol_1_5x,2022-01-03,2022-12-30,251,815944.2047183677,-18.40557952816323,772405.9562997326,-22.759404370026747,-5.335934512049489,-27.91034139345725,86,83,3,83,24.096385542168676,-5.895117182010718,-4.149507876973502,35.71084337349398,us_bear_2022_defense,ma5_down_vol_1_5x,spy_ret20_positive,0.6,15,25000.0
