symbol,market,sector_official,industry_group,industry,source
6690.TWO,tw,數位雲端,數位雲端,數位雲端,TPEx OpenAPI mopsfin_t187ap03_O
6712.TWO,tw,生技醫療業,生技醫療業,生技醫療業,TPEx OpenAPI mopsfin_t187ap03_O
6741.TWO,tw,數位雲端,數位雲端,數位雲端,TPEx OpenAPI mopsfin_t187ap03_O
6753.TW,tw,航運業,航運業,航運業,TWSE OpenAPI t187ap03_L
6757.TW,tw,航運業,航運業,航運業,TWSE OpenAPI t187ap03_L
6768.TW,tw,運動休閒,運動休閒,運動休閒,TWSE OpenAPI t187ap03_L
6782.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
6789.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
6805.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
6811.TWO,tw,數位雲端,數位雲端,數位雲端,TPEx OpenAPI mopsfin_t187ap03_O
6831.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
6890.TW,tw,運動休閒,運動休閒,運動休閒,TWSE OpenAPI t187ap03_L
6914.TW,tw,其他,其他,其他,TWSE OpenAPI t187ap03_L
6919.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
6937.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
7717.TWO,tw,通信網路業,通信網路業,通信網路業,TPEx OpenAPI mopsfin_t187ap03_O
7722.TW,tw,數位雲端,數位雲端,數位雲端,TWSE OpenAPI t187ap03_L
7750.TW,tw,電機機械,電機機械,電機機械,TWSE OpenAPI t187ap03_L
7751.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
7765.TW,tw,數位雲端,數位雲端,數位雲端,TWSE OpenAPI t187ap03_L
7769.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
7799.TW,tw,生技醫療業,生技醫療業,生技醫療業,TWSE OpenAPI t187ap03_L
7810.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
8046.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
8069.TWO,tw,光電業,光電業,光電業,TPEx OpenAPI mopsfin_t187ap03_O
8081.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
8086.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
8091.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
8103.TW,tw,電子零組件業,電子零組件業,電子零組件業,TWSE OpenAPI t187ap03_L
8131.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
8150.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
8155.TWO,tw,電子零組件業,電子零組件業,電子零組件業,TPEx OpenAPI mopsfin_t187ap03_O
8210.TW,tw,電腦及週邊設備業,電腦及週邊設備業,電腦及週邊設備業,TWSE OpenAPI t187ap03_L
8271.TW,tw,半導體業,半導體業,半導體業,TWSE OpenAPI t187ap03_L
8299.TWO,tw,半導體業,半導體業,半導體業,TPEx OpenAPI mopsfin_t187ap03_O
8358.TWO,tw,電子零組件業,電子零組件業,電子零組件業,TPEx OpenAPI mopsfin_t187ap03_O
9904.TW,tw,運動休閒,運動休閒,運動休閒,TWSE OpenAPI t187ap03_L
9910.TW,tw,運動休閒,運動休閒,運動休閒,TWSE OpenAPI t187ap03_L
AAOI,us,Technology,Communication Equipment,Communication Equipment,yfinance quoteSummary
AAPL,us,Technology,Consumer Electronics,Consumer Electronics,yfinance quoteSummary
ABNB,us,Consumer Cyclical,Travel Services,Travel Services,yfinance quoteSummary
ADBE,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
ADI,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
ALAB,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
AMAT,us,Technology,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,yfinance quoteSummary
AMD,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
AMKR,us,Technology,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,yfinance quoteSummary
AMZN,us,Consumer Cyclical,Internet Retail,Internet Retail,yfinance quoteSummary
APP,us,Communication Services,Advertising Agencies,Advertising Agencies,yfinance quoteSummary
ARM,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
ASML,us,Technology,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,yfinance quoteSummary
AVGO,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
BA,us,Industrials,Aerospace & Defense,Aerospace & Defense,yfinance quoteSummary
BE,us,Industrials,Electrical Equipment & Parts,Electrical Equipment & Parts,yfinance quoteSummary
CAT,us,Industrials,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,yfinance quoteSummary
CIEN,us,Technology,Communication Equipment,Communication Equipment,yfinance quoteSummary
CLS,us,Technology,Electronic Components,Electronic Components,yfinance quoteSummary
COHR,us,Technology,Scientific & Technical Instruments,Scientific & Technical Instruments,yfinance quoteSummary
COIN,us,Financial Services,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,yfinance quoteSummary
COST,us,Consumer Defensive,Discount Stores,Discount Stores,yfinance quoteSummary
CRM,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
CRWD,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
CRWV,us,Technology,Software - Infrastructure,Software - Infrastructure,yfinance quoteSummary
CSCO,us,Technology,Communication Equipment,Communication Equipment,yfinance quoteSummary
DDOG,us,Technology,Software - Application,Software - Application,yfinance quoteSummary
DELL,us,Technology,Computer Hardware,Computer Hardware,yfinance quoteSummary
EXPE,us,Consumer Cyclical,Travel Services,Travel Services,yfinance quoteSummary
GE,us,Industrials,Aerospace & Defense,Aerospace & Defense,yfinance quoteSummary
GEV,us,Industrials,Specialty Industrial Machinery,Specialty Industrial Machinery,yfinance quoteSummary
GOOG,us,Communication Services,Internet Content & Information,Internet Content & Information,yfinance quoteSummary
HOOD,us,Financial Services,Capital Markets,Capital Markets,yfinance quoteSummary
IBM,us,Technology,Information Technology Services,Information Technology Services,yfinance quoteSummary
INTC,us,Technology,Semiconductors,Semiconductors,yfinance quoteSummary
ISRG,us,Healthcare,Medical Instruments & Supplies,Medical Instruments & Supplies,yfinance quoteSummary
JNJ,us,Healthcare,Drug Manufacturers - General,Drug Manufacturers - General,yfinance quoteSummary
JPM,us,Financial Services,Banks - Diversified,Banks - Diversified,yfinance quoteSummary
KO,us,Consumer Defensive,Beverages - Non-Alcoholic,Beverages - Non-Alcoholic,yfinance quoteSummary
